metro,pagerank
22180,0.002056942794878005
36100,0.002040951187929794
17020,0.0020407211438520922
11260,0.002031401784154656
25860,0.0020279159260717175
31340,0.0020150506882167327
49180,0.0020075481648737224
38940,0.0019926938366990206
37100,0.0019887818587136933
32580,0.0019747093305545905
44300,0.001953239496275919
44700,0.0019504236775307348
19300,0.0019357786904550993
24780,0.0019282497729348645
41500,0.0019268177285789037
15540,0.001905270851266932
46220,0.0018974599842313217
14020,0.0018657347409869111
29200,0.0018597995274896584
49660,0.0018554504936177125
42100,0.0018453446209179955
49620,0.001837672479046233
29180,0.0018376511976231228
22380,0.0018323930281779126
35980,0.0018309457234052195
26980,0.001825932256292035
26620,0.001805550287734577
44140,0.0018024223563848666
29940,0.0017981904452572216
12620,0.001796784923434594
46700,0.001790832770170397
17860,0.001763441253033948
47380,0.0017506495857756575
33700,0.001748794050665775
32780,0.0017459846968365866
13980,0.001744362301308239
39140,0.0017393503561658448
14740,0.0017196833512924952
29740,0.0017194716549681056
42540,0.0017134935430817284
45060,0.0017012305586455116
40220,0.0016863390082258569
43340,0.0016712188952879305
16580,0.0016691080334817199
13140,0.0016662952825017654
34060,0.00166345851331958
45820,0.0016600527473330838
34620,0.0016591003921160082
27060,0.0016442446561839752
47300,0.0016341005223642494
12700,0.0016183796935167788
49740,0.0016157626483461174
41100,0.0016108200290222648
11100,0.0016024876697605384
15940,0.0015841741989952654
39740,0.0015795400089456484
42140,0.0015700405641927671
12220,0.0015687464469056043
44100,0.0015408653037994264
25940,0.0015310821410200897
27900,0.0015203654787712614
36780,0.0015114489630308967
29420,0.001504450820418596
21500,0.0015015136304772532
13460,0.001499894297864182
13900,0.0014627146110171353
38340,0.001457119730320121
39820,0.0014545045408430456
42680,0.0014527289848216298
41420,0.0014414940134809457
39460,0.0014384627106470366
14010,0.0014359292977569357
49420,0.001432094570239978
33780,0.001429461998794116
24540,0.0014267135092515307
40420,0.0014184568098339553
27740,0.00141728165119076
30340,0.0014161470698083789
29100,0.0014110052019012578
24140,0.0014090346232111038
49700,0.001403427387452469
45940,0.0013930261338133806
25500,0.0013914540236940002
29700,0.0013908051406247208
20940,0.001387641018190893
26380,0.0013670150806874017
48660,0.0013660102523310813
33260,0.0013655338656545246
27500,0.0013611713180462356
35660,0.0013604481103999043
34740,0.0013593283934652247
16620,0.0013592444659287551
39540,0.0013486698174992916
31900,0.001344280557738233
11500,0.001327985396666829
25620,0.0013248349748434677
32900,0.001324042369488486
33140,0.0013238421365790367
37460,0.0013229857885170785
18880,0.001305197324305603
41660,0.0013038731497832293
48300,0.0013001645377132471
26140,0.0012988433371460297
15180,0.001294207144665352
31860,0.001281188128111639
33740,0.0012788853433602886
21140,0.0012744507765319623
34900,0.0012531956227968795
27100,0.001232745176452331
46340,0.0012272470953506565
23580,0.00122140574042008
19500,0.0012096097660204228
27860,0.0012047515145405785
22500,0.0012019235335189464
15500,0.0011991977842789954
25260,0.0011907840368341849
44940,0.0011825797521209714
36980,0.001180364320116088
20100,0.0011792207937634666
19460,0.0011783585797854276
27620,0.0011780246913288613
41140,0.0011714206055221975
36220,0.0011548682029837642
48140,0.0011513783636480594
24020,0.0011496462834628535
31460,0.0011492673474528005
45540,0.0011351424702214594
44220,0.0011330348109398055
17420,0.0011271222630301774
20020,0.001126822887670856
27780,0.0011203170269337172
43100,0.0011080341775628359
27180,0.0010996198141260366
30620,0.0010971067626138497
40580,0.0010958680022033224
37620,0.0010930200980108769
40980,0.0010814818790335409
30020,0.0010814810726847257
30140,0.0010805363157448543
23460,0.0010780045803774974
34580,0.0010685247437175016
20700,0.0010347091250091762
31700,0.0010134162193310599
16940,0.0010040193108241321
17660,0.000970766916478053
13220,0.0009438324049132401
47580,0.0009346377738363125
24300,0.0009301037103174885
28100,0.0009294204942847759
46540,0.0008630182492231553
39380,0.0008615558427232582
12100,0.0008460297128230273
20740,0.0008282302447947915
13780,0.0008158332319374371
18700,0.0007526320984718199
36140,0.0007506590439503161
41060,0.0007300616064705017
10540,0.0006495332180012117
15680,0.0006294165068531574
