metro,pagerank
37860,0.0026831789529918196
34820,0.002660086873691342
44060,0.0026532112721611247
16580,0.00262651992276945
10580,0.0026221704286075527
38860,0.0025998465474980927
17820,0.0025650182061054626
42200,0.002558179100882152
21660,0.002555135294661071
29180,0.0025402236455998608
21500,0.002527170808706321
12540,0.0025266083326829294
49660,0.002485378360960122
45820,0.002481630386970646
23540,0.002481289333442702
44700,0.002473003765236276
14860,0.0024711325863889795
10420,0.002465451977712567
10900,0.0024500460601372246
49180,0.0024466808329928007
27060,0.00242853781873263
28020,0.002412175743831154
33860,0.002406090648773924
25420,0.0023752684350409376
29620,0.002373006862058239
14020,0.002366329375233256
46140,0.002358930248175993
29200,0.002328574949042175
47380,0.0023261713766037895
43340,0.0022999870905973724
19780,0.002289491620841614
25060,0.002270936193706446
39340,0.0022442503563776823
45060,0.002224683839799715
39140,0.0022185038609580945
25860,0.002187722017798984
29420,0.0021828224230551036
29540,0.002176725145295019
22660,0.002159294841668967
31860,0.002157486488375613
11500,0.0021562047976904607
37100,0.002126168247379615
44300,0.0021106774401508993
11460,0.002102609174252551
36500,0.0021010983194835967
47300,0.002093497485607913
39900,0.0020701120764316417
19300,0.0020543186063083146
49620,0.0020335964223858072
43900,0.002032505618805015
15940,0.002004985251846829
39740,0.0020017919733881346
46700,0.0019901204348483684
23060,0.0019899679944525403
35980,0.001978042058532324
13380,0.0019687963949998125
12620,0.0019663338485468077
13140,0.0019352385320218
36260,0.0019219705613808488
40420,0.001917593316821549
40220,0.0019057350205973155
22500,0.0019056343151537406
48900,0.0018898488366882438
41540,0.001888982790586748
22380,0.0018796585939717995
42680,0.001862315129356377
33700,0.0018466530056668704
12700,0.0018439411432602014
17300,0.0018261946419808744
15180,0.0018252413800524062
32780,0.001824285101909059
42540,0.0018188185774509849
41500,0.0018182724769513691
49740,0.0018177575048915558
32900,0.0018110312381360502
29700,0.001808543809632467
29740,0.0018036566476595435
26620,0.001802089691095892
39460,0.0017974109986313817
27780,0.0017929263336828754
29100,0.0017860792446940396
27900,0.001782584516707402
42020,0.0017654491157923697
26380,0.001757849441778015
31900,0.0017541639075260161
31340,0.0017342248534061547
27100,0.0017173617018221843
41100,0.0017138552591212004
49420,0.0017066462562971632
44220,0.0017032152061942844
42220,0.0016918265197991248
26140,0.0016914287967225885
34620,0.0016896619432580644
17020,0.0016864143118555269
34060,0.0016620560625396652
33740,0.0016489945609077118
33780,0.001645547956882216
49700,0.0016334340700265614
42140,0.0016318410974237034
13900,0.0016236462157173683
41420,0.0016194345649333565
17860,0.001596574882908681
12220,0.0015928832579746488
11260,0.0015722517884350336
34740,0.0015669518056153878
21140,0.001561219219651717
42100,0.0015593262271252494
33140,0.0015588056910847688
29940,0.0015553604425822586
30700,0.0015326575140224294
24540,0.001524313922807656
30340,0.0015177060386551955
39820,0.001513777674771834
30140,0.0015044775630466394
25260,0.0014995141647457918
17420,0.0014978204739574418
22180,0.0014840757551967578
23580,0.0014785082116343844
38340,0.0014765927134808166
19500,0.0014530507052033796
24140,0.0014450197386867182
48140,0.0014449462285159181
11100,0.0014434471718959476
13220,0.0014433470662878279
19460,0.0014366947456381472
27500,0.0014317332542294794
39540,0.001426852804142958
14740,0.0014242761007762846
36780,0.0014194884323069762
45940,0.0014169032520186054
26980,0.0014091442523210163
27180,0.0013981482133840146
27740,0.0013931569916323739
44100,0.001388383349181131
48660,0.001383068626974196
34900,0.0013805794867943052
30620,0.0013780709249847662
25940,0.0013643552203284103
25500,0.0013598883790333998
13460,0.0013573272289817114
16620,0.0013423000788230373
41660,0.0013421518851425588
25620,0.0013397332993000922
43100,0.0013255761214520825
46340,0.0013196611136960558
33260,0.0013159164065479016
41140,0.00130994834567107
20100,0.0013052870856845853
14010,0.0013049500352418678
48300,0.0012998657587776352
18880,0.0012958701460491183
36980,0.0012953904857854882
36220,0.0012927057650100418
40980,0.0012700620048954332
37620,0.001267015212829035
44940,0.0012436026665299403
45540,0.0012432212710169915
24020,0.001233439047259667
31460,0.0012302683253746123
